Reaction id	Reaction name	stoichiometry	Genes
rxn00771_c0	ATP:D-ribose-5-phosphate 1-phosphotransferase	cpd00002_c0 + cpd00067_c0 + cpd00101_c0 <=> cpd00008_c0 + cpd00847_c0	6666666.653812.peg.1786;
rxn01547_c0	Guanosine aminohydrolase	cpd00001_c0 + cpd00067_c0 + cpd00311_c0 <=> cpd00013_c0 + cpd01217_c0	666666.653812.peg.4051;
rxn03384_c0	Uroporphyrinogen I carboxy-lyase	4.0 cpd00067_c0 + cpd03414_c0 <=> 4.0 cpd00011_c0 + cpd03416_c0	6666666.653812.peg.3742;
rxn06208_c0	N-Acyl-D-glucosamine 2-epimerase	cpd12230_c0 <=> cpd11714_c0	6666666.653812.peg.698;
rxn01405_c0	Spermidine:putrescine 4-aminobutyltransferase (propane-1,3-diamine-forming)	cpd00118_c0 + cpd00264_c0 <=> cpd00726_c0 + cpd03802_c0	6666666.653812.peg.5251;
rxn00262_c0	L-Aspartic acid:oxygen oxidoreductase (deaminating)	cpd00001_c0 + cpd00007_c0 + cpd00041_c0 --> cpd00013_c0 + cpd00025_c0 + cpd00032_c0	6666666.653812.peg.4604;
rxn02796_c0	chenodeoxycholoyltaurine amidohydrolase	cpd00001_c0 + cpd03246_c0 <=> cpd00210_c0 + cpd01663_c0	6666666.653812.peg.593;6666666.653812.peg.1859;
rxn10126_c0	succinate dehyrdogenase	cpd00982_c0 + cpd15560_c0 --> cpd00015_c0 + cpd00067_c0 + cpd15561_c0	6666666.653812.peg.3111;6666666.653812.peg.581;6666666.653812.peg.582;6666666.653812.peg.3110;6666666.653812.peg.580;6666666.653812.peg.585;6666666.653812.peg.3109;
rxn00898_c0	2,3-Dihydroxy-3-methylbutanoate hydro-lyase	cpd02498_c0 --> cpd00001_c0 + cpd00123_c0	6666666.653812.peg.2031;6666666.653812.peg.3018;
rxn05040_c0	D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)	cpd00171_c0 --> cpd00047_c0 + cpd00067_c0 + cpd11225_c0	6666666.653812.peg.1586;
rxn02090_c0	Creatinine iminohydrolase	cpd00001_c0 + cpd00067_c0 + cpd00585_c0 <=> cpd00013_c0 + cpd01679_c0	6666666.653812.peg.1586;
rxn02988_c0	glycerone phosphate:iminosuccinate alkyltransferase (cyclizing)	cpd00095_c0 + cpd03470_c0 --> 2.0 cpd00001_c0 + cpd00009_c0 + cpd02333_c0	6666666.653812.peg.4605;
rxn01021_c0	Methylthioadenosine methylthioribohydrolase	cpd00001_c0 + cpd00147_c0 <=> cpd00128_c0 + cpd01981_c0	6666666.653812.peg.2860;
rxn00165_c0	L-serine ammonia-lyase	cpd00054_c0 --> cpd00013_c0 + cpd00020_c0	6666666.653812.peg.4288;
rxn05814_c0	ATP:nucleoside-phosphate phosphotransferase	cpd00002_c0 + cpd12232_c0 <=> cpd00008_c0 + cpd00354_c0	6666666.653812.peg.4071;
rxn00001_c0	diphosphate phosphohydrolase	cpd00001_c0 + cpd00012_c0 --> 2.0 cpd00009_c0 + cpd00067_c0	6666666.653812.peg.3775;
rxn11268_c0	phosphate ABC transporter permease protein	cpd00012_c0 + cpd00067_c0 --> cpd00012_e0 + cpd00067_e0	6666666.653812.peg.683;6666666.653812.peg.650;
rxn08817_c0	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0)	cpd00001_c0 + cpd15350_c0 <=> 2.0 cpd00067_c0 + cpd00080_c0 + cpd01741_c0	6666666.653812.peg.1873;
rxn11944_c0	Methyltransferase	cpd00017_c0 + cpd02555_c0 --> cpd00019_c0 + cpd00067_c0 + cpd02738_c0	6666666.653812.peg.1394;
rxn05453_c0	13-methyl-tetra-decanoyl-ACP:[acyl-carrier-protein] transferase	cpd00010_c0 + 2.0 cpd00067_c0 + cpd11540_c0 <=> cpd11437_c0 + cpd11493_c0	6666666.653812.peg.1812;
rxn08796_c0	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm)	cpd00001_c0 + cpd15325_c0 <=> cpd00067_c0 + cpd00080_c0 + cpd01741_c0	6666666.653812.peg.1873;
rxn03181_c0	ATP:2,3,2',3'-tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-beta-D-1,6-glucosaminyl-alpha-phosphate 4-O'-phosphotransferase	cpd00002_c0 + cpd03002_c0 <=> cpd00008_c0 + cpd00067_c0 + cpd02993_c0	6666666.653812.peg.2148;
rxn02331_c0	phosphoenolpyruvate:D-arabinose-5-phosphate C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming)	cpd00001_c0 + cpd00061_c0 + cpd00817_c0 --> cpd00009_c0 + cpd02730_c0	6666666.653812.peg.1271;
rxn00337_c0	ATP:L-aspartate 4-phosphotransferase	cpd00002_c0 + cpd00041_c0 <=> cpd00008_c0 + cpd01977_c0	6666666.653812.peg.888;
rxn08823_c0	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)	cpd00001_c0 + cpd15357_c0 <=> 2.0 cpd00067_c0 + cpd00080_c0 + cpd15269_c0	6666666.653812.peg.1873;
rxn07680_c0	R07890	cpd00003_c0 + cpd15045_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd15046_c0	6666666.653812.peg.203;
rxn05516_c0	Cadmium-translocating P-type ATPase	cpd00001_c0 + cpd00002_c0 + cpd01012_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd01012_e0	6666666.653812.peg.534;6666666.653812.peg.214;6666666.653812.peg.3396;6666666.653812.peg.3394;6666666.653812.peg.2403;
rxn00416_c0	L-aspartate:L-glutamine amido-ligase (AMP-forming)	cpd00001_c0 + cpd00002_c0 + cpd00041_c0 + cpd00053_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00023_c0 + 2.0 cpd00067_c0 + cpd00132_c0	
rxn02376_c0	R03316	cpd00213_c0 + cpd03189_c0 <=> cpd00056_c0 + cpd00860_c0	6666666.653812.peg.569;
rxn12512_c0	(R)-4'-Phosphopantothenate:L-cysteine ligase	cpd00002_c0 + cpd00084_c0 + cpd02201_c0 --> cpd00012_c0 + cpd00018_c0 + 2.0 cpd00067_c0 + cpd02666_c0	6666666.653812.peg.1638;6666666.653812.peg.4100;
rxn00015_c0	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	2.0 cpd00118_c0 <=> cpd00013_c0 + cpd03802_c0	6666666.653812.peg.5251;
rxn01739_c0	ATP:shikimate 3-phosphotransferase	cpd00002_c0 + cpd00383_c0 <=> cpd00008_c0 + cpd00067_c0 + cpd02030_c0	6666666.653812.peg.1320;
rxn00361_c0	ATP:adenylylsulfate 3'-phosphotransferase	cpd00002_c0 + cpd00193_c0 <=> cpd00008_c0 + cpd00044_c0 + cpd00067_c0	666666.653812.peg.4567;
rxn00242_c0	guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase	cpd00001_c0 + cpd00905_c0 --> cpd00012_c0 + cpd00031_c0	6666666.653812.peg.1440;
rxn04384_c0	adenosylcobyric acid:(R)-1-aminopropan-2-yl phosphate ligase	cpd00002_c0 + cpd02547_c0 + cpd03917_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd03919_c0	6666666.653812.peg.3744;
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	cpd00001_c0 + 4.0 cpd00689_c0 --> 4.0 cpd00013_c0 + cpd00755_c0	6666666.653812.peg.3743;
rxn05350_c0	hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	cpd00067_c0 + cpd11472_c0 + cpd11492_c0 --> cpd00011_c0 + cpd11490_c0 + cpd11493_c0	6666666.653812.peg.1685;6666666.653812.peg.2989;6666666.653812.peg.1904;
rxn08838_c0	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)	cpd00001_c0 + cpd15336_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd01741_c0	6666666.653812.peg.1873;
rxn00780_c0	ATP:D-glyceraldehyde 3-phosphotransferase	cpd00002_c0 + cpd00448_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00102_c0	6666666.653812.peg.4735;
rxn01102_c0	ATP:(R)-glycerate 3-phosphotransferase	cpd00002_c0 + cpd00223_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00169_c0	6666666.653812.peg.4735;
rxn00100_c0	ATP:dephospho-CoA 3'-phosphotransferase	cpd00002_c0 + cpd00655_c0 --> cpd00008_c0 + cpd00010_c0 + cpd00067_c0	6666666.653812.peg.2897;
rxn00781_c0	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)	cpd00003_c0 + cpd00009_c0 + cpd00102_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00203_c0	6666666.653812.peg.1093;
rxn00881_c0	1D-myo-Inositol 1-phosphate phosphohydrolase	cpd00001_c0 + cpd00867_c0 --> cpd00009_c0 + cpd00121_c0	6666666.653812.peg.726;6666666.653812.peg.4831;
rxn09202_c0	Phosphatidylserine decarboxylase (n-C18:0)	2.0 cpd00067_c0 + cpd15557_c0 <=> cpd00011_c0 + cpd15533_c0	6666666.653812.peg.4874;
rxn02687_c0	R03790	cpd00003_c0 + cpd01357_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd01447_c0	6666666.653812.peg.2858;
rxn00097_c0	ATP:AMP phosphotransferase	cpd00002_c0 + cpd00018_c0 + cpd00067_c0 --> 2.0 cpd00008_c0	6666666.653812.peg.803;
rxn05116_c0	R07406	cpd00067_c0 + cpd04539_c0 --> cpd00011_c0 + cpd08449_c0	6666666.653812.peg.922;
rxn03535_c0	ATP:cob(I)yrinic acid-a,c-diamide Cobeta-adenosyltransferase	cpd00002_c0 + cpd00067_c0 + cpd03915_c0 <=> cpd00421_c0 + cpd03916_c0	6666666.653812.peg.2596;
rxn00692_c0	5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	cpd00001_c0 + cpd00033_c0 + cpd00125_c0 --> cpd00054_c0 + cpd00087_c0	6666666.653812.peg.946;
rxn02761_c0	(S)(+)-Allantoin racemase	cpd01092_c0 <=> cpd01567_c0	6666666.653812.peg.698;
rxn08802_c0	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)	cpd00001_c0 + cpd15328_c0 <=> 2.0 cpd00067_c0 + cpd00080_c0 + cpd15269_c0	6666666.653812.peg.1873;
rxn10230_c0	anteisopentadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase	cpd00054_c0 + cpd15687_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15693_c0	6666666.653812.peg.4873;
rxn05413_c0	4-methyl-pentanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	cpd11492_c0 + cpd11549_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11550_c0	6666666.653812.peg.2989;6666666.653812.peg.1904;
rxn08521_c0	reduced-riboflavin:NAD+ oxidoreductase	cpd00004_c0 + 2.0 cpd00067_c0 + cpd00220_c0 <=> cpd00003_c0 + cpd00739_c0	6666666.653812.peg.5086;6666666.653812.peg.2685;
rxn00259_c0	(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)	cpd00442_c0 <=> cpd00022_c0 + cpd00032_c0 + cpd00067_c0	6666666.653812.peg.4607;
rxn01362_c0	Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase	cpd00103_c0 + cpd00247_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00810_c0	6666666.653812.peg.4643;6666666.653812.peg.4074;
rxn00549_c0	D-Fructose-1,6-bisphosphate 1-phosphohydrolase	cpd00001_c0 + cpd00290_c0 --> cpd00009_c0 + cpd00072_c0	6666666.653812.peg.1733;6666666.653812.peg.1920;
rxn07875_c0	R08086	cpd00001_c0 + cpd00003_c0 + cpd01061_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd15165_c0	6666666.653812.peg.2858;
rxn02933_c0	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase	cpd00003_c0 + cpd02691_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd02124_c0	6666666.653812.peg.203;
rxn05127_c0	R07418	cpd00001_c0 + cpd00006_c0 + cpd11341_c0 --> cpd00005_c0 + 2.0 cpd00067_c0 + cpd11408_c0	6666666.653812.peg.2858;
rxn09105_c0	phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:1)	cpd00001_c0 + cpd15546_c0 --> cpd00009_c0 + cpd00067_c0 + cpd15539_c0	6666666.653812.peg.3782;
rxn00612_c0	sn-Glycerol-3-phosphate:NADP+ 2-oxidoreductase	cpd00006_c0 + cpd00080_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00095_c0	6666666.653812.peg.2049;
rxn10222_c0	isotetradecanoyl-phosphatidate cytidylyltransferase	cpd00052_c0 + cpd15679_c0 <=> cpd00012_c0 + cpd00067_c0 + cpd15685_c0	6666666.653812.peg.3020;6666666.653812.peg.4135;
rxn02791_c0	(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase	cpd00023_c0 + cpd01651_c0 <=> cpd00001_c0 + cpd03407_c0	6666666.653812.peg.676;
rxn08814_c0	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)	cpd00001_c0 + cpd15322_c0 <=> cpd00067_c0 + cpd02090_c0 + cpd15237_c0	6666666.653812.peg.1873;
rxn00300_c0	GTP 7,8-8,9-dihydrolase (diphosphate-forming)	3.0 cpd00001_c0 + cpd00038_c0 --> cpd00012_c0 + cpd00047_c0 + 3.0 cpd00067_c0 + cpd00957_c0	6666666.653812.peg.1586;
rxn01844_c0	Sphingomyelin cholinephosphohydrolase	cpd00001_c0 + cpd00431_c0 <=> cpd00067_c0 + cpd00167_c0 + cpd00457_c0	6666666.653812.peg.1853;
rxn00679_c0	propanoyl-CoA:oxaloacetate C-propanoyltransferase (thioester-hydrolysing, 1-carboxyethyl-forming)	cpd00001_c0 + cpd00032_c0 + cpd00086_c0 --> cpd00010_c0 + cpd00067_c0 + cpd01501_c0	6666666.653812.peg.1385;6666666.653812.peg.1403;
rxn06078_c0	O-acetyl-L-homoserine acetate-lyase (L-homocysteine forming)	cpd00268_c0 + cpd00790_c0 + cpd11421_c0 --> cpd00029_c0 + cpd00067_c0 + cpd00081_c0 + cpd00135_c0 + cpd11420_c0	6666666.653812.peg.1977;6666666.653812.peg.4461;
rxn05348_c0	Decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	cpd11474_c0 + cpd11492_c0 --> cpd00011_c0 + cpd11489_c0 + cpd11493_c0	6666666.653812.peg.1685;6666666.653812.peg.2989;6666666.653812.peg.1904;
rxn03245_c0	(S)-Hydroxydecanoyl-CoA hydro-lyase	cpd03118_c0 <=> cpd00001_c0 + cpd03129_c0	6666666.653812.peg.203;
rxn00907_c0	5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	cpd00006_c0 + cpd00125_c0 <=> cpd00005_c0 + cpd00347_c0	6666666.653812.peg.5086;6666666.653812.peg.2685;
rxn09320_c0	ATP:3'-dephospho-CoA 5-triphosphoribosyltransferase	cpd00002_c0 + cpd00655_c0 <=> cpd00128_c0 + cpd15364_c0	6666666.653812.peg.2275;
rxn04068_c0	Glycocholate amidohydrolase	cpd00001_c0 + cpd01318_c0 <=> cpd00033_c0 + cpd00526_c0	6666666.653812.peg.593;6666666.653812.peg.1859;
rxn00336_c0	isocitrate glyoxylate-lyase (succinate-forming)	cpd00260_c0 <=> cpd00036_c0 + cpd00040_c0	6666666.653812.peg.1402;
rxn01465_c0	(S)-dihydroorotate amidohydrolase	cpd00001_c0 + cpd00282_c0 <=> cpd00067_c0 + cpd00343_c0	6666666.653812.peg.729;
rxn03052_c0	5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase	cpd00135_c0 + cpd02738_c0 <=> cpd00060_c0 + cpd02555_c0	6666666.653812.peg.1394;
rxn01301_c0	L-Homoserine:NAD+ oxidoreductase	cpd00003_c0 + cpd00227_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00346_c0	666666.653812.peg.3491;
rxn08844_c0	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)	cpd00001_c0 + cpd15342_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd15269_c0	6666666.653812.peg.1873;
rxn03095_c0	Taurodeoxycholate amidohydrolase	cpd00001_c0 + cpd03244_c0 <=> cpd00210_c0 + cpd02733_c0	6666666.653812.peg.593;6666666.653812.peg.1859;
rxn00289_c0	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	cpd02799_c0 <=> cpd00020_c0 + cpd00036_c0	6666666.653812.peg.3074;6666666.653812.peg.1384;
rxn00747_c0	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	cpd00102_c0 <=> cpd00095_c0	6666666.653812.peg.4468;
rxn03406_c0	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-	cpd00002_c0 + cpd00013_c0 + cpd03487_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd03488_c0	6666666.653812.peg.4635;
rxn07734_c0	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6'''-O-hydroxycinnamoyltransferase	cpd00270_c0 + cpd15028_c0 <=> cpd00010_c0 + cpd15029_c0	6666666.653812.peg.634;
rxn06777_c0	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase	cpd00003_c0 + cpd03115_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd12689_c0	6666666.653812.peg.203;
rxn02835_c0	1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase	cpd00001_c0 + cpd01777_c0 <=> cpd02979_c0	666666.653812.peg.4229;
rxn03884_c0	2-dehydro-3-deoxy-D-gluconate-6-phosphate D-glyceraldehyde-3-phosphate-lyase	cpd02711_c0 <=> cpd00020_c0 + cpd00102_c0	6666666.653812.peg.1282;
rxn03289_c0	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase	cpd00003_c0 + cpd03233_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd03248_c0	6666666.653812.peg.203;
rxn03536_c0	R05221	cpd00002_c0 + cpd03918_c0 --> cpd00008_c0 + cpd00067_c0 + cpd03919_c0	6666666.653812.peg.1599;
rxn03240_c0	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase	cpd03113_c0 <=> cpd00001_c0 + cpd03126_c0	6666666.653812.peg.203;
rxn05359_c0	4-methyl-3-oxo-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	cpd11492_c0 + cpd11495_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11496_c0	6666666.653812.peg.2989;6666666.653812.peg.1904;
rxn00555_c0	L-glutamine:D-fructose-6-phosphate isomerase (deaminating)	cpd00053_c0 + cpd00072_c0 <=> cpd00023_c0 + cpd00288_c0	666666.653812.peg.635;
rxn03080_c0	5-amino-6-(D-ribitylamino)uracil butanedionetransferase	cpd02882_c0 + cpd11225_c0 <=> 2.0 cpd00001_c0 + cpd00009_c0 + cpd00067_c0 + cpd02656_c0	6666666.653812.peg.1585;
rxn01044_c0	D-xylose aldose-ketose-isomerase	cpd00154_c0 <=> cpd00259_c0	6666666.653812.peg.1998;
rxn00143_c0	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	cpd00001_c0 + cpd00019_c0 <=> cpd00128_c0 + cpd02227_c0	6666666.653812.peg.2860;
rxn01505_c0	N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase	cpd00293_c0 <=> cpd02611_c0	6666666.653812.peg.2277;
rxn00737_c0	L-threonine ammonia-lyase (2-oxobutanoate-forming)	cpd00161_c0 --> cpd00013_c0 + cpd00094_c0	6666666.653812.peg.509;
rxn04723_c0	R06914	cpd00001_c0 + cpd00003_c0 + cpd09790_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd09791_c0	6666666.653812.peg.2858;
rxn05164_c0	ATP phosphohydrolase (polar-amino-acid-importing)	cpd00001_c0 + cpd00002_c0 + cpd00119_e0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00119_c0	6666666.653812.peg.3823;
rxn01740_c0	Shikimate:NADP+ 3-oxidoreductase	cpd00006_c0 + cpd00383_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd01716_c0	6666666.653812.peg.2896;6666666.653812.peg.4843;
rxn02762_c0	2',3'-Cyclic CMP 3'-nucleotidohydrolase	cpd00001_c0 + cpd01571_c0 --> cpd00067_c0 + cpd03454_c0	6666666.653812.peg.1853;
rxn08801_c0	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)	cpd00001_c0 + cpd15329_c0 <=> cpd00067_c0 + cpd00080_c0 + cpd01080_c0	6666666.653812.peg.1873;
rxn00139_c0	AMP:diphosphate phospho-D-ribosyltransferase	cpd00103_c0 + cpd00128_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00067_c0	6666666.653812.peg.3733;
rxn00237_c0	ATP:GDP phosphotransferase	cpd00002_c0 + cpd00031_c0 --> cpd00008_c0 + cpd00038_c0	6666666.653812.peg.1788;
rxn08311_c0	CDP-diacylglycerol synthetase (n-C18:0)	cpd00052_c0 + cpd15526_c0 <=> cpd00012_c0 + cpd00067_c0 + cpd15421_c0	6666666.653812.peg.3020;6666666.653812.peg.4135;
rxn10264_c0	isohexadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase	cpd00080_c0 + cpd15688_c0 <=> cpd00046_c0 + cpd15721_c0	6666666.653812.peg.2401;
rxn01146_c0	thymidine:phosphate deoxy-alpha-D-ribosyltransferase	cpd00009_c0 + cpd00184_c0 <=> cpd00151_c0 + cpd00509_c0	6666666.653812.peg.2278;
rxn01484_c0	N-Acetyl-D-glucosamine-6-phosphate amidohydrolase	cpd00001_c0 + cpd00293_c0 <=> cpd00029_c0 + cpd00288_c0	6666666.653812.peg.2542;
rxn05371_c0	8-methyl-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	cpd11492_c0 + cpd11507_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11508_c0	6666666.653812.peg.2989;6666666.653812.peg.1904;
rxn00532_c0	3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)	cpd00006_c0 + cpd00010_c0 + cpd00191_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00070_c0	6666666.653812.peg.2858;
rxn01642_c0	4-imidazolone-5-propanoate amidohydrolase	cpd00001_c0 + cpd00067_c0 + cpd02311_c0 --> cpd00344_c0	6666666.653812.peg.729;6666666.653812.peg.2100;6666666.653812.peg.1200;
rxn08815_c0	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplasm)	cpd00001_c0 + cpd15323_c0 <=> cpd00067_c0 + cpd01080_c0 + cpd02090_c0	6666666.653812.peg.1873;
